,,,,,,
S.No.,Question,Choice A,Choice B,Choice C,Choice D,Correct Ans
1,Two main measures for the efficiency of an algorithm are __________.,Processor and memory ,Complexity and capacity,Time and space,Data and space,Time and space
2, State true or false. i) The degree of leaf node is always zero. ii) Nodes that are not root and not leaf are called as internal nodes.,"True, True","True, False","False, True","False, False","True, True"
3,Any node is the path from the root to the node is called _________.,Successor node,Ancestor node,Internal node,None of the above,Ancestor node
4,State true or false. i) A node is a parent if it has successor nodes.   ii) A node is leaf node if its degree is zero.,"True, True","True, False","False, True","False, False","True, True"
5,The space factor when determining the efficiency of algorithm is measured by,Counting the maximum memory needed by the algorithm,Counting the minimum memory needed by the algorithm,Counting the average memory needed by the algorithm,Counting the maximum disk space needed by the algorithm,Counting the maximum disk space needed by the algorithm
6,Which of the following case does not exist in complexity theory,Best case,Worst case,Average case,Null case,Null case
7,The Worst case occur in linear search algorithm when, Item is somewhere in the middle of the array,Item is not in the array at all,Item is the last element in the array,Item is the last element in the array or is not there at all,Item is the last element in the array or is not there at all
8,Which of the following data structure is not linear data structure?,Arrays,Linked lists,Both of above,None of above,None of above
9, State true or false. i) An empty tree is also a binary tree. ii) The general tree may have no root.,"True, True","True, False","False, True","False, False","True, False"
10,The operation of visiting each element in the list is known as,Sorting,Merging,Inserting,Travesing,Travesing
11, Which of the following data structure is linear type?,Array,Graph,Tree,Hierarchy,Array
12,A binary tree whose every node has either zero or two children is called,Complete binary tree,Binary Search Tree,Lemma Tree,None of the above,Complete binary tree
13,The depth of a complete binary tree of n element is given by,nlogn,nlog(n-1),nlog(n+1),logn,logn
14,The in order traversal of tree will yield a sorted listing of elements of tree in,Binary trees,Binary search trees,Heaps,None of the above,Binary search trees
15,What is the maximum height of any AVL-tree with 7 nodes? Assume that the height of a tree with a single node is 0.,2,3,4,5,3
16,Which of the following is true about Red Black Trees?,The path from the root to the furthest leaf is no more than twice as long as the path from the root to the nearest leaf,At least one children of every black node is red,Root may be red,A leaf node may be red,The path from the root to the furthest leaf is no more than twice as long as the path from the root to the nearest leaf
17,AVL trees have a faster ________________,Insertion,Deletion ,Updation,Retrival,Retrival
18,A binary search tree whose left subtree and right subtree differ in hight by at most 1 unit is called ……,AVL Tree,Red Black Tree,Lemma Tree,None of the above,AVL Tree
19,Which of the following is a self-adjusting or self-balancing Binary Search Tree.,Binary Tree,2-Tree,Red black Tree,None of the above,Red black Tree
20,Consider a binary max-heap implemented using an array. Which one of the following array represents a binary max-heap?,"25,12,16,13,10,8,14","25,12,16,13,10,8,14","25,14,16,13,10,8,12","25,14,12,13,10,8,16","25,14,16,13,10,8,12"
21,"In a heap, element with the greatest key is always in the ______________ node",Leaf ,Root,first node of left sub tree,first node of right sub tree,Root
