QUESTION_TEXT,Answer Choice 1,Answer Choice 2,Answer Choice 3,Answer Choice 4,Correct Answer Choice Text
The worst case occur in linear search algorithm when .......,Item is somewhere in the middle of the array,Item is not in the array at all,Item is the last element in the array,Item is the last element in the array or item is not there at all,Item is the last element in the array or item is not there at all
"If the number of records to be sorted is small, then ...... sorting can be efficient.",Merge,Heap,Selection,Bubble,Selection
The complexity of sorting algorithm measures the ...... as a function of the number n of items to be sorter.,average time,running time,average-case complexity,case-complexity,running time
Which of the following is not a limitation of binary search algorithm?, must use a sorted array,requirement of sorted array is expensive when a lot of insertion and deletions are needed,there must be a mechanism to access middle element directly,binary search algorithm is not efficient when the data elements more than 1500.,binary search algorithm is not efficient when the data elements more than 1500.
The Average case occurs in linear search algorithm ..........,when item is somewhere in the middle of the array,when item is not the array at all,when item is the last element in the array,Item is the last element in the array or item is not there at all,when item is somewhere in the middle of the array
Binary search algorithm cannot be applied to ...,sorted linked list,sorted binary trees,sorted linear array,. pointer array,sorted linked list
Which of the following data structure is linear type?,Array,Tree,Graphs,Hierarchy,Array
Linear arrays are also called,Straight line array, One-dimensional array, Vertical array,Horizontal array,Straight line array
A binary tree whose every node has either zero or two children is called, Complete binary tree, Binary search tree, Strictly binary tree,None of above, Strictly binary tree
The depth of a complete binary tree of n element is given by,nlogn,log(n-1),logn,log(n+1),log(n+1)
The in order traversal of tree will yield a sorted listing of elements of tree in,Binary trees,Binary search trees, Heaps,None of above,Binary search trees
What is the maximum height of any AVL-tree with 7 nodes? Assume that the height of a tree with a single node is 0.,2,3,4,5,3
What is the worst case possible height of AVL tree?, 2Logn Assume base of log is 2., 1.44log n Assume base of log is 2, Depends upon implementation,Theta(n), 1.44log n Assume base of log is 2
Which of the following is true,"The AVL trees are more balanced compared to Red Black Trees, but they may cause more rotations during insertion and deletion.","Heights of AVL and Red-Black trees are generally same, but AVL Trees may cause more rotations during insertion and deletion.","Red Black trees are more balanced compared to AVL Trees, but may cause more rotations during insertion and deletion.","Heights of AVL and Red-Black trees are generally same, but Red Black rees may cause more rotations during insertion and deletion.","The AVL trees are more balanced compared to Red Black Trees, but they may cause more rotations during insertion and deletion."
Which of the following is true about Red Black Trees?,The path from the root to the furthest leaf is no more than twice as long as the path from the root to the nearest leaf,At least one children of every black node is red,Root may be red,None of the above,None of the above
AVL trees have a faster,Insertion, Deletion,Updation,Retrival,Retrival
A binary search tree whose left subtree and right subtree differ in hight by at most 1 unit is called ,AVL tree,Red-black tree,Lemma tree,None of the above,AVL tree
Which of the following is a self-adjusting or self-balancing Binary Search Tree.,Splay Tree,AVL Tree,Red Black Tree,All of the above,All of the above
What is the pecularity of red black trees?,"In red-black trees, the root do not contain data.","In red-black trees, the leaf nodes are not relevant and do not contain data.","In red-black trees, the leaf node are relevant but do not contain data.",Both a and c above,Both a and c above
Consider a binary max-heap implemented using an array. Which one of the following array represents a binary max-heap?,"25,12,16,13,10,8,14","25,12,16,13,10,8,14","25,14,16,13,10,8,12","25,14,12,13,10,8,16","25,14,16,13,10,8,12"
"AVL trees have LL, LR, RR, RL rotations to balance the tree to maintain the balance factor (LR : Insert node in Right sub tree of Left sub tree of node A, etc). Among rotations the following are single and double rotations.","LL, RL and LR, RR","LL, RR and LR, RL","LR, RR and LL, RL",,"LL, RR and LR, RL"
"A sorting technique which uses the binary tree concept such that label of any node is larger than all the labels in the subtrees, is called",selection sort,insertion sort,Heap sort. ,quick sort.,Heap sort. 
Asymptotic notations are,"Gama,Omega,Theta","Big oh,Omega,Gama","Big oh,Gama,Theta","Big oh,Omega,Theta","Big oh,Omega,Theta"
The space factor when determining the efficiency of algorithm is measured by, Counting the maximum memory needed by the algorithm,Counting the minimum memory needed by the algorithm, Counting the average memory needed by the algorithm,Counting the maximum disk space needed by the algorithm, Counting the maximum memory needed by the algorithm
The worst case occur in linear search algorithm when,Item is somewhere in the middle of the array,Item is not in the array at all,Item is the last element in the array,Item is the last element in the array or item is not there at all,Item is the last element in the array or item is not there at all
The time factor when determining the efficiency of algorithm is measured by,Counting microseconds ,Counting the number of key operations ,Counting the number of statements ,Counting the kilobytes of algorithm,Counting the number of statements 
The complexity of sorting algorithm measures the ...... as a function of the number n of items to be sorter.,average time,running time,average-case complexity,best case-complexity,running time
Which stream class is to only write on files ?,ofstream,ifstream,fstream,iostream,ofstream
Finding the location of a given item in a collection of items is ,Discovering,Finding,Searching,Mining,Searching
Which of the following is an external sorting?,Insertion Sort,Bubble Sort,Merge Sort,Tree Sort,Merge Sort
Very slow way of sorting is ,Insertion sort,Heap sort,Bubble sort,Quick sort,Insertion sort
Which of the following is an internal sorting?,Tape Sort,2-way Merge Sort,Merge Sort,Tree Sort,Tree Sort
The time complexity of quick sort is, O(n),O(logn),O(n2),O(n logn),O(n logn)
Selection sort first finds the .......... element in the list and put it in the first position,Middle element,Largest element,Last element,Smallest element,Smallest element
Quick sort is also known as , merge sort,tree sort,shell sort,none of these,none of these
The operation that combines the element is of A and B in a single sorted list C with n=r+s element is called,Inserting,Mixing,Merging,Sharing ,Merging
